Model,Trial,Best_Score_So_Far
LinearSVC,10,0.8970416666666665
LinearSVC,11,0.8970416666666665
LinearSVC,12,0.8970416666666665
LinearSVC,13,0.8970416666666665
LinearSVC,14,0.8970416666666665
LinearSVC,15,0.8970416666666665
LinearSVC,16,0.8970416666666665
LinearSVC,17,0.8970416666666665
LinearSVC,18,0.8970625
LinearSVC,19,0.8970625
LinearSVC,20,0.8970625
LinearSVC,21,0.8970625
LinearSVC,22,0.8970625
LinearSVC,23,0.8970625
LinearSVC,24,0.8970625
LinearSVC,25,0.8970625
LinearSVC,26,0.8970625
LinearSVC,27,0.8970625
LinearSVC,28,0.8970625
LinearSVC,29,0.8970625
LinearSVC,30,0.8970625
LinearSVC,31,0.8970625
LinearSVC,32,0.8970625
LinearSVC,33,0.8970625
LinearSVC,34,0.8970625
LinearSVC,35,0.8970625
LinearSVC,36,0.8970625
LinearSVC,37,0.8970625
LinearSVC,38,0.8970625
LinearSVC,39,0.8970625
LinearSVC,40,0.8970625
LinearSVC,41,0.8970625
LinearSVC,42,0.8970625
LinearSVC,43,0.8970625
LinearSVC,44,0.8970625
LinearSVC,45,0.8970625
LinearSVC,46,0.8970625
LinearSVC,47,0.8970625
LinearSVC,48,0.8970625
LinearSVC,49,0.8970625
LinearSVC,50,0.8970625
NB,1,0.8430416666666666
NB,2,0.8430416666666666
NB,3,0.8430416666666666
NB,4,0.8430416666666666
NB,5,0.8430416666666666
NB,6,0.8430416666666666
NB,7,0.8430416666666666
NB,8,0.8430416666666666
NB,9,0.8430416666666666
NB,10,0.8430416666666666
NB,11,0.8430416666666666
NB,12,0.8430416666666666
NB,13,0.8430416666666666
NB,14,0.8430416666666666
NB,15,0.8430416666666666
NB,16,0.8430416666666666
NB,17,0.8430416666666666
NB,18,0.8430416666666666
NB,19,0.8430416666666666
NB,20,0.8430416666666666
NB,21,0.8430416666666666
NB,22,0.8430416666666666
NB,23,0.8430416666666666
NB,24,0.8430416666666666
NB,25,0.8430416666666666
NB,26,0.8430416666666666
NB,27,0.8430416666666666
NB,28,0.8430416666666666
NB,29,0.8430416666666666
NB,30,0.8430416666666666
NB,31,0.8430416666666666
NB,32,0.8430416666666666
NB,33,0.8430416666666666
NB,34,0.8430416666666666
NB,35,0.8430416666666666
NB,36,0.8430416666666666
NB,37,0.8430416666666666
NB,38,0.8430416666666666
NB,39,0.8430416666666666
NB,40,0.8430416666666666
NB,41,0.8430416666666666
NB,42,0.8430416666666666
NB,43,0.8430416666666666
NB,44,0.8430416666666666
NB,45,0.8430416666666666
NB,46,0.8430416666666666
NB,47,0.8430416666666666
NB,48,0.8430416666666666
NB,49,0.8430416666666666
NB,50,0.8430416666666666
QDA,1,0.8663958333333334
QDA,2,0.8663958333333334
QDA,3,0.8663958333333334
QDA,4,0.8663958333333334
QDA,5,0.8862708333333332
QDA,6,0.8862708333333332
QDA,7,0.8978124999999999
QDA,8,0.8978124999999999
QDA,9,0.8978124999999999
QDA,10,0.8978124999999999
QDA,11,0.8978124999999999
QDA,12,0.8978124999999999
QDA,13,0.8978124999999999
QDA,14,0.8978124999999999
QDA,15,0.8978124999999999
QDA,16,0.8978124999999999
QDA,17,0.8978124999999999
QDA,18,0.8978124999999999
QDA,19,0.8978124999999999
QDA,20,0.8978124999999999
QDA,21,0.8978124999999999
QDA,22,0.8978124999999999
QDA,23,0.8978124999999999
QDA,24,0.8978124999999999
QDA,25,0.8978124999999999
QDA,26,0.8978124999999999
QDA,27,0.8978124999999999
QDA,28,0.8978124999999999
QDA,29,0.8981875
QDA,30,0.8981875
QDA,31,0.8981875
QDA,32,0.8981875
QDA,33,0.8985208333333332
QDA,34,0.8985208333333332
QDA,35,0.8985208333333332
QDA,36,0.8985208333333332
QDA,37,0.8985208333333332
QDA,38,0.8985208333333332
QDA,39,0.8985208333333332
QDA,40,0.8985208333333334
QDA,41,0.8985208333333334
QDA,42,0.8989791666666666
QDA,43,0.8989791666666666
QDA,44,0.8989791666666666
QDA,45,0.8989791666666666
QDA,46,0.8989791666666666
QDA,47,0.8989791666666666
QDA,48,0.8989791666666666
QDA,49,0.8989791666666666
QDA,50,0.8989791666666666
RF,1,0.9482708333333333
RF,2,0.9482708333333333
RF,3,0.9482708333333333
