Model,Scaler,Mean,Std,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
AdaBoost,Quantile,0.8875624999999999,0.007039878964395153,0.8903125,0.8960416666666666,0.8746875,0.8891666666666667,0.8876041666666666
RF,MinMax,0.9599791666666666,0.002021370203599536,0.9579166666666666,0.9629166666666666,0.9617708333333334,0.9580208333333333,0.9592708333333333
RF,Raw,0.9599583333333334,0.0020429417786885546,0.9578125,0.9629166666666666,0.9617708333333334,0.9580208333333333,0.9592708333333333
RF,Standard,0.9599583333333334,0.0020429417786885546,0.9578125,0.9629166666666666,0.9617708333333334,0.9580208333333333,0.9592708333333333
RF,Robust,0.9599583333333334,0.0020429417786885546,0.9578125,0.9629166666666666,0.9617708333333334,0.9580208333333333,0.9592708333333333
RF,Power,0.9597291666666667,0.0021088026486874344,0.9576041666666667,0.9626041666666667,0.9617708333333334,0.9575,0.9591666666666666
RF,Quantile,0.9596041666666666,0.0022393652994642348,0.9570833333333333,0.9626041666666667,0.961875,0.9576041666666667,0.9588541666666667
GB,Raw,0.9225833333333334,0.003933805586056446,0.918125,0.9266666666666666,0.9251041666666666,0.9255208333333333,0.9175
GB,Standard,0.9225833333333334,0.003933805586056446,0.918125,0.9266666666666666,0.9251041666666666,0.9255208333333333,0.9175
GB,MinMax,0.9225833333333334,0.003933805586056446,0.918125,0.9266666666666666,0.9251041666666666,0.9255208333333333,0.9175
GB,Robust,0.9225833333333334,0.003933805586056446,0.918125,0.9266666666666666,0.9251041666666666,0.9255208333333333,0.9175
GB,Power,0.9225833333333334,0.003933805586056446,0.918125,0.9266666666666666,0.9251041666666666,0.9255208333333333,0.9175
GB,Quantile,0.9225833333333334,0.003933805586056446,0.918125,0.9266666666666666,0.9251041666666666,0.9255208333333333,0.9175
XGB,MinMax,0.9690208333333334,0.0028386897897132303,0.9644791666666667,0.9714583333333333,0.9709375,0.9713541666666666,0.966875
XGB,Quantile,0.9681458333333334,0.001040415915765337,0.9673958333333333,0.9689583333333334,0.9673958333333333,0.9697916666666667,0.9671875
XGB,Standard,0.9677291666666668,0.0024600982365209296,0.9632291666666667,0.9696875,0.9696875,0.9690625,0.9669791666666666
XGB,Robust,0.9677291666666668,0.0024600982365209296,0.9632291666666667,0.9696875,0.9696875,0.9690625,0.9669791666666666
XGB,Power,0.9677291666666668,0.0024600982365209296,0.9632291666666667,0.9696875,0.9696875,0.9690625,0.9669791666666666
XGB,Raw,0.9676875,0.0016853123680130933,0.9648958333333333,0.9696875,0.9678125,0.9690625,0.9669791666666666
LGBM,Raw,0.96775,0.0019146275384813445,0.9645833333333333,0.966875,0.9696875,0.9696875,0.9679166666666666
LGBM,MinMax,0.9676874999999999,0.0014796067420470645,0.966875,0.9672916666666667,0.9705208333333334,0.9675,0.96625
LGBM,Quantile,0.9675625,0.0017770723426780214,0.965,0.9685416666666666,0.9703125,0.966875,0.9670833333333333
LGBM,Power,0.9673333333333334,0.0008477912478906547,0.9660416666666667,0.9686458333333333,0.9676041666666667,0.9669791666666666,0.9673958333333333
LGBM,Standard,0.9670625000000002,0.0014454790632251401,0.9642708333333333,0.9676041666666667,0.9684375,0.9677083333333333,0.9672916666666667
LGBM,Robust,0.9665625,0.0020874958416458966,0.9653125,0.9651041666666667,0.9694791666666667,0.9686458333333333,0.9642708333333333
CB,MinMax,0.9392708333333333,0.0017065539513560516,0.9371875,0.9419791666666667,0.9404166666666667,0.9383333333333334,0.9384375
CB,Power,0.9392708333333333,0.0017065539513560516,0.9371875,0.9419791666666667,0.9404166666666667,0.9383333333333334,0.9384375
CB,Quantile,0.9392708333333333,0.0017065539513560516,0.9371875,0.9419791666666667,0.9404166666666667,0.9383333333333334,0.9384375
CB,Robust,0.9390625,0.002665527100260326,0.9371875,0.9419791666666667,0.9422916666666666,0.9383333333333334,0.9355208333333334
CB,Raw,0.9389583333333335,0.0012689535277367692,0.9371875,0.9404166666666667,0.9404166666666667,0.9383333333333334,0.9384375
CB,Standard,0.9389583333333335,0.0012689535277367692,0.9371875,0.9404166666666667,0.9404166666666667,0.9383333333333334,0.9384375
SGD,Power,0.8912708333333332,0.0022022321378294633,0.8903125,0.8940625,0.8882291666666666,0.8902083333333334,0.8935416666666667
