Scaler,Model,Metric,Mean,Std
Raw,CB,f1,0.9909970120187627,0.0008742865935319673
Raw,CB,precision,0.9881825049751439,0.0011963665853533816
Raw,CB,recall,0.9938283634812514,0.0009201425138463339
Raw,CB,roc_auc,0.9992964960069693,0.00012435979739467922
Raw,CB,matthews_corrcoef,0.9750355462829983,0.002432105607424962
Raw,SGD,accuracy,0.8489791666666665,0.009477541069403092
Raw,SGD,f1,0.8839315180579979,0.012436225228410182
Raw,SGD,precision,0.8660121730862823,0.023972309897124466
Raw,SGD,recall,0.9056303283168263,0.04754569315328166
Raw,SGD,roc_auc,0.9336638851738709,0.0029224880717155254
Raw,SGD,matthews_corrcoef,0.6730873550697793,0.010514307834306178
Standard,LR,accuracy,0.8565416666666665,0.0027086538271908402
Standard,LR,f1,0.8880832028423151,0.002121582449329181
Standard,LR,precision,0.8840639496725338,0.0024105025747588244
Standard,LR,recall,0.8921433983390875,0.002634544311226987
Standard,LR,roc_auc,0.9362577338669664,0.0016298303142275744
Standard,LR,matthews_corrcoef,0.6883999285310981,0.005893742088307684
Standard,LDA,accuracy,0.8554999999999999,0.0021963116177405716
Standard,LDA,f1,0.8859126839471634,0.0017648349653460824
Standard,LDA,precision,0.8925611547064026,0.0027677339054022355
Standard,LDA,recall,0.8793756195097242,0.0032129022116366207
Standard,LDA,roc_auc,0.9342051922450741,0.0017888006341795345
Standard,LDA,matthews_corrcoef,0.6890793278955348,0.0047824122349033075
Standard,QDA,accuracy,0.8518333333333332,0.00717937342515193
Standard,QDA,f1,0.8798769811331468,0.007244609799474482
Standard,QDA,precision,0.9107924893564613,0.004643165924626501
Standard,QDA,recall,0.8512601500953092,0.017592653818022042
Standard,QDA,roc_auc,0.9242775577869196,0.001356505805070507
Standard,QDA,matthews_corrcoef,0.6901068278607333,0.010821219222076421
Standard,NB,accuracy,0.8308958333333333,0.0027231963959859834
Standard,NB,f1,0.8653384765334187,0.002578563596530668
Standard,NB,precision,0.8794819909031986,0.0032495312162746713
Standard,NB,recall,0.8516849598101814,0.006261731231171983
Standard,NB,roc_auc,0.9046894890962289,0.0020091806155118058
Standard,NB,matthews_corrcoef,0.6389118622475427,0.005145349313618999
Standard,KNN,accuracy,0.9229583333333334,0.0015031795006289323
Standard,KNN,f1,0.9405368974202432,0.0012572984359993861
Standard,KNN,precision,0.9264795475578174,0.0011310600267185498
Standard,KNN,recall,0.955035140431091,0.0030487420404427864
Standard,KNN,roc_auc,0.9736943248219874,0.0007209344054396778
Standard,KNN,matthews_corrcoef,0.8320193408550558,0.003238797336368934
Standard,LinearSVC,accuracy,0.8563541666666665,0.0026833786228062113
Standard,LinearSVC,f1,0.8878221218118993,0.00210264194695458
Standard,LinearSVC,precision,0.8847018142724018,0.0023348489395640186
Standard,LinearSVC,recall,0.8909678561431104,0.0025201003111134197
Standard,LinearSVC,roc_auc,0.9362662657275912,0.0016300011561691833
Standard,LinearSVC,matthews_corrcoef,0.6882145484763664,0.005831818348143584
Standard,SVM,accuracy,0.9789999999999999,0.0014046673192531346
Standard,SVM,f1,0.9836117516158905,0.0010821231256263862
Standard,SVM,precision,0.9795383663811336,0.002091360749157679
Standard,SVM,recall,0.9877220597448646,0.0008662225852844555
Standard,SVM,roc_auc,0.9983833289857866,0.00022313934912878737
Standard,SVM,matthews_corrcoef,0.9544588556886655,0.0030514715970342355
Standard,AdaBoost,accuracy,0.8875624999999999,0.007039878964395153
Standard,AdaBoost,f1,0.9128026047079606,0.005773642264053663
Standard,AdaBoost,precision,0.9031834080160278,0.00394388420632278
Standard,AdaBoost,recall,0.922675007664725,0.009746743103313627
Standard,AdaBoost,roc_auc,0.9575827023519174,0.004560711191076148
Standard,AdaBoost,matthews_corrcoef,0.7550248681356346,0.014947599858804443
Standard,RF,accuracy,0.9599583333333334,0.0020429417786885546
Standard,RF,f1,0.9689026553259374,0.0015870718860894765
Standard,RF,precision,0.9602367734335304,0.0020247832981408346
Standard,RF,recall,0.9777298444394088,0.002062006373630518
Standard,RF,roc_auc,0.9941254699126191,0.0004149501670638774
Standard,RF,matthews_corrcoef,0.9130066465385202,0.0044570246203995256
Standard,GB,accuracy,0.9225833333333334,0.003933805586056446
Standard,GB,f1,0.9402923736869262,0.0030955009663750834
Standard,GB,precision,0.9255517999574933,0.0031802704774192155
Standard,GB,recall,0.9555249843373013,0.00482275250510954
Standard,GB,roc_auc,0.9810733404458649,0.0008112851127582526
Standard,GB,matthews_corrcoef,0.8311920306045494,0.008601545348027649
Standard,XGB,accuracy,0.9862083333333332,0.0012903218806001558
Standard,XGB,f1,0.9892228515024039,0.001003718131582815
Standard,XGB,precision,0.9863975470118176,0.0014784395972183653
Standard,XGB,recall,0.9920650288593557,0.000666225673151824
Standard,XGB,roc_auc,0.9990404671158298,0.00012752323004591208
Standard,XGB,matthews_corrcoef,0.9701077012867632,0.0027991362914948316
Standard,LGBM,accuracy,0.9674583333333334,0.0016868568733330808
Standard,LGBM,f1,0.9746581433679431,0.0013046784808666216
Standard,LGBM,precision,0.9685620263343168,0.0017163922853890476
Standard,LGBM,recall,0.9808319758994388,0.0009452441280558963
Standard,LGBM,roc_auc,0.9961800601558337,0.00024070703893723305
Standard,LGBM,matthews_corrcoef,0.9293516703521718,0.0036708696098004708
Standard,CB,accuracy,0.9882500000000001,0.0009302963984069537
Standard,CB,f1,0.9908182634684486,0.0007260122225792643
Standard,CB,precision,0.9879560825165198,0.0009599512211480148
Standard,CB,recall,0.9936977512363535,0.0008918684035792624
Standard,CB,roc_auc,0.9992911681549652,0.0001158462073334002
Standard,CB,matthews_corrcoef,0.9745384928178357,0.0020187725228639564
Standard,SGD,accuracy,0.8532500000000001,0.0029918871785026956
Standard,SGD,f1,0.8852970536203542,0.0028026501984161414
Standard,SGD,precision,0.8829411520334203,0.005357800444030528
