Model,Scaler,Fold,Accuracy
XGB,Robust,3,0.9871875
XGB,Robust,4,0.986875
XGB,Robust,5,0.9851041666666667
LGBM,Robust,1,0.9653125
LGBM,Robust,2,0.9651041666666667
LGBM,Robust,3,0.9694791666666667
LGBM,Robust,4,0.9686458333333333
LGBM,Robust,5,0.9642708333333333
CB,Robust,1,0.9885416666666667
CB,Robust,2,0.9866666666666667
CB,Robust,3,0.9872916666666667
CB,Robust,4,0.9884375
CB,Robust,5,0.9895833333333334
SGD,Robust,1,0.8544791666666667
SGD,Robust,2,0.8570833333333333
SGD,Robust,3,0.856875
SGD,Robust,4,0.8580208333333333
SGD,Robust,5,0.8472916666666667
LR,Power,1,0.8923958333333334
LR,Power,2,0.8961458333333333
LR,Power,3,0.8908333333333334
LR,Power,4,0.8963541666666667
LR,Power,5,0.8996875
LDA,Power,1,0.8951041666666667
LDA,Power,2,0.8942708333333333
LDA,Power,3,0.8927083333333333
LDA,Power,4,0.895
LDA,Power,5,0.8994791666666667
QDA,Power,1,0.8946875
QDA,Power,2,0.8935416666666667
QDA,Power,3,0.8896875
QDA,Power,4,0.8909375
QDA,Power,5,0.8933333333333333
NB,Power,1,0.8444791666666667
NB,Power,2,0.8452083333333333
NB,Power,3,0.8429166666666666
NB,Power,4,0.8429166666666666
NB,Power,5,0.8396875
KNN,Power,1,0.9179166666666667
KNN,Power,2,0.9211458333333333
KNN,Power,3,0.9215625
KNN,Power,4,0.9203125
KNN,Power,5,0.9208333333333333
LinearSVC,Power,1,0.8966666666666666
LinearSVC,Power,2,0.8958333333333334
LinearSVC,Power,3,0.8933333333333333
LinearSVC,Power,4,0.8977083333333333
LinearSVC,Power,5,0.9014583333333334
SVM,Power,1,0.9772916666666667
SVM,Power,2,0.9782291666666667
SVM,Power,3,0.9798958333333333
SVM,Power,4,0.9809375
SVM,Power,5,0.9782291666666667
AdaBoost,Power,1,0.8903125
AdaBoost,Power,2,0.8960416666666666
AdaBoost,Power,3,0.8746875
AdaBoost,Power,4,0.8891666666666667
AdaBoost,Power,5,0.8876041666666666
RF,Power,1,0.9576041666666667
RF,Power,2,0.9626041666666667
RF,Power,3,0.9617708333333334
RF,Power,4,0.9575
RF,Power,5,0.9591666666666666
GB,Power,1,0.918125
GB,Power,2,0.9266666666666666
GB,Power,3,0.9251041666666666
GB,Power,4,0.9255208333333333
GB,Power,5,0.9175
XGB,Power,1,0.9842708333333333
XGB,Power,2,0.9876041666666666
XGB,Power,3,0.9871875
XGB,Power,4,0.986875
XGB,Power,5,0.9851041666666667
LGBM,Power,1,0.9647916666666667
LGBM,Power,2,0.9686458333333333
LGBM,Power,3,0.9676041666666667
LGBM,Power,4,0.9669791666666666
LGBM,Power,5,0.9673958333333333
CB,Power,1,0.9885416666666667
CB,Power,2,0.9866666666666667
CB,Power,3,0.9876041666666666
CB,Power,4,0.9886458333333333
CB,Power,5,0.9895833333333334
SGD,Power,1,0.8903125
SGD,Power,2,0.8940625
SGD,Power,3,0.8882291666666666
SGD,Power,4,0.8902083333333334
SGD,Power,5,0.8935416666666667
LR,Quantile,1,0.8475
LR,Quantile,2,0.8548958333333333
LR,Quantile,3,0.8495833333333334
LR,Quantile,4,0.8529166666666667
LR,Quantile,5,0.8545833333333334
LDA,Quantile,1,0.8511458333333334
LDA,Quantile,2,0.8521875
LDA,Quantile,3,0.851875
LDA,Quantile,4,0.8548958333333333
LDA,Quantile,5,0.8542708333333333
QDA,Quantile,1,0.8777083333333333
QDA,Quantile,2,0.8802083333333334
QDA,Quantile,3,0.8794791666666667
QDA,Quantile,4,0.8795833333333334
QDA,Quantile,5,0.8751041666666667
NB,Quantile,1,0.8397916666666667
NB,Quantile,2,0.8434375
NB,Quantile,3,0.8402083333333333
NB,Quantile,4,0.8405208333333334
NB,Quantile,5,0.8355208333333334
KNN,Quantile,1,0.9189583333333333
KNN,Quantile,2,0.923125
KNN,Quantile,3,0.9239583333333333
KNN,Quantile,4,0.923125
KNN,Quantile,5,0.9215625
LinearSVC,Quantile,1,0.85
LinearSVC,Quantile,2,0.853125
LinearSVC,Quantile,3,0.85
LinearSVC,Quantile,4,0.8538541666666667
LinearSVC,Quantile,5,0.8541666666666666
SVM,Quantile,1,0.9703125
SVM,Quantile,2,0.97
SVM,Quantile,3,0.969375
SVM,Quantile,4,0.9725
SVM,Quantile,5,0.9679166666666666
AdaBoost,Quantile,1,0.8903125
AdaBoost,Quantile,2,0.8960416666666666
AdaBoost,Quantile,3,0.8746875
AdaBoost,Quantile,4,0.8891666666666667
