Model,Scaler,Mean,Std,Min,Max
QDA,Robust,0.8402499999999999,0.013793271558182916,0.8195833333333333,0.8569791666666666
NB,Robust,0.8308958333333333,0.0027231963959859834,0.8265625,0.8341666666666666
KNN,Robust,0.9217916666666668,0.0014514719540291887,0.9192708333333334,0.9230208333333333
LinearSVC,Robust,0.8563333333333333,0.002681275090532699,0.85125,0.8590625
SVM,Robust,0.9784166666666666,0.0008052561704202981,0.9776041666666667,0.9797916666666666
AdaBoost,Robust,0.8875624999999999,0.007039878964395153,0.8746875,0.8960416666666666
RF,Robust,0.9599583333333334,0.0020429417786885546,0.9578125,0.9629166666666666
GB,Robust,0.9225833333333334,0.003933805586056446,0.9175,0.9266666666666666
XGB,Robust,0.9862083333333332,0.0012903218806001558,0.9842708333333333,0.9876041666666666
LGBM,Robust,0.9665625,0.0020874958416458966,0.9642708333333333,0.9694791666666667
CB,Robust,0.9881041666666667,0.0010214708893442703,0.9866666666666667,0.9895833333333334
SGD,Robust,0.8547499999999999,0.003907902428271326,0.8472916666666667,0.8580208333333333
LR,Power,0.8950833333333333,0.0031377517605940307,0.8908333333333334,0.8996875
LDA,Power,0.8953125,0.00225250632012927,0.8927083333333333,0.8994791666666667
QDA,Power,0.8924375,0.0018382982015379761,0.8896875,0.8946875
NB,Power,0.8430416666666666,0.0018996070500091357,0.8396875,0.8452083333333333
KNN,Power,0.9203541666666666,0.0012852664012655672,0.9179166666666667,0.9215625
LinearSVC,Power,0.8969999999999999,0.002656883094488323,0.8933333333333333,0.9014583333333334
SVM,Power,0.9789166666666667,0.0013136568975361954,0.9772916666666667,0.9809375
AdaBoost,Power,0.8875624999999999,0.007039878964395153,0.8746875,0.8960416666666666
RF,Power,0.9597291666666667,0.0021088026486874344,0.9575,0.9626041666666667
GB,Power,0.9225833333333334,0.003933805586056446,0.9175,0.9266666666666666
XGB,Power,0.9862083333333332,0.0012903218806001558,0.9842708333333333,0.9876041666666666
LGBM,Power,0.9670833333333334,0.0012706625568313927,0.9647916666666667,0.9686458333333333
CB,Power,0.9882083333333334,0.0009934682514638714,0.9866666666666667,0.9895833333333334
SGD,Power,0.8912708333333332,0.0022022321378294633,0.8882291666666666,0.8940625
LR,Quantile,0.8518958333333334,0.0028960581447508415,0.8475,0.8548958333333333
LDA,Quantile,0.852875,0.0014487782208927793,0.8511458333333334,0.8548958333333333
QDA,Quantile,0.8784166666666666,0.0018533471971903651,0.8751041666666667,0.8802083333333334
NB,Quantile,0.8398958333333335,0.002537051821395122,0.8355208333333334,0.8434375
KNN,Quantile,0.9221458333333334,0.0017721808598447283,0.9189583333333333,0.9239583333333333
LinearSVC,Quantile,0.8522291666666668,0.0018512383242935981,0.85,0.8541666666666666
SVM,Quantile,0.9700208333333334,0.001488380924957664,0.9679166666666666,0.9725
AdaBoost,Quantile,0.8875624999999999,0.007039878964395153,0.8746875,0.8960416666666666
RF,Quantile,0.9598125,0.002335192711533707,0.9570833333333333,0.9627083333333334
GB,Quantile,0.9225833333333334,0.003933805586056446,0.9175,0.9266666666666666
XGB,Quantile,0.9850625000000001,0.0008057949835755998,0.9840625,0.9861458333333334
LGBM,Quantile,0.967625,0.0023305414845291115,0.96375,0.9704166666666667
CB,Quantile,0.9879583333333333,0.0007412686197773723,0.9866666666666667,0.9886458333333333
SGD,Quantile,0.8503541666666667,0.002052479868625047,0.8473958333333333,0.8536458333333333
